date,county,daily_cases
2020-03-16,Cook,31
2020-03-17,Cook,72
2020-03-18,Cook,100
2020-03-19,Cook,133
2020-03-20,Cook,136
2020-03-21,Cook,257
2020-03-22,Cook,117
2020-03-23,Cook,272
2020-03-24,Cook,224
2020-03-25,Cook,486
2020-03-26,Cook,335
2020-03-27,Cook,374
2020-03-28,Cook,832
2020-03-29,Cook,282
2020-03-30,Cook,769
2020-03-31,Cook,656
2020-04-01,Cook,423
2020-04-02,Cook,898
2020-04-03,Cook,966
2020-04-04,Cook,604
2020-04-05,Cook,685
2020-04-06,Cook,781
2020-04-07,Cook,1011
2020-04-08,Cook,895
2020-04-09,Cook,1057
2020-04-10,Cook,945
2020-04-11,Cook,1168
2020-04-12,Cook,889
2020-04-13,Cook,849
2020-04-14,Cook,983
2020-04-15,Cook,781
2020-04-16,Cook,1304
2020-04-17,Cook,1004
2020-04-18,Cook,877
2020-04-19,Cook,829
2020-04-20,Cook,1080
2020-04-21,Cook,1365
2020-04-22,Cook,1265
2020-04-23,Cook,1805
2020-04-24,Cook,1442
2020-04-25,Cook,1516
2020-04-26,Cook,1379
2020-04-27,Cook,1496
2020-04-28,Cook,1431
2020-04-29,Cook,1633
2020-04-30,Cook,2155
2020-05-01,Cook,1559
2020-05-02,Cook,2097
2020-05-03,Cook,1391
2020-05-04,Cook,1508
2020-05-05,Cook,1466
2020-05-06,Cook,1652
2020-05-07,Cook,1895
2020-05-08,Cook,1438
2020-05-09,Cook,981
2020-05-10,Cook,726
2020-05-11,Cook,2089
2020-05-12,Cook,936
2020-05-13,Cook,2051
2020-05-14,Cook,1448
2020-05-15,Cook,1307
2020-05-16,Cook,1006
2020-05-17,Cook,1472
2020-05-18,Cook,1001
2020-05-19,Cook,1522
2020-05-20,Cook,1338
2020-05-21,Cook,1398
2020-05-22,Cook,1468
2020-05-23,Cook,1593
2020-05-24,Cook,1087
2020-05-25,Cook,722
2020-03-16,Kane,0
2020-03-17,Kane,1
2020-03-18,Kane,2
2020-03-19,Kane,2
2020-03-20,Kane,0
2020-03-21,Kane,5
2020-03-22,Kane,10
2020-03-23,Kane,1
