date,location,cases,deaths,recovered
2020-01-22,Hubei,444,17,28
2020-01-23,Hubei,444,17,28
2020-01-24,Hubei,549,24,31
2020-01-25,Hubei,761,40,32
2020-01-26,Hubei,1058,52,42
2020-01-27,Hubei,1423,76,45
2020-01-28,Hubei,3554,125,80
2020-01-29,Hubei,3554,125,88
2020-01-30,Hubei,4903,162,90
2020-01-31,Hubei,5806,204,141
2020-02-01,Hubei,7153,249,168
2020-02-02,Hubei,11177,350,295
2020-02-03,Hubei,13522,414,386
2020-02-04,Hubei,16678,479,522
2020-02-05,Hubei,19665,549,633
2020-02-06,Hubei,22112,618,817
2020-02-07,Hubei,24953,699,1115
2020-02-08,Hubei,27100,780,1439
2020-02-09,Hubei,29631,871,1795
2020-02-10,Hubei,31728,974,2222
2020-02-11,Hubei,33366,1068,2639
2020-02-12,Hubei,33366,1068,2686
2020-02-13,Hubei,48206,1310,3459
2020-02-14,Hubei,54406,1457,4774
2020-02-15,Hubei,56249,1596,5623
2020-02-16,Hubei,58182,1696,6639
2020-02-17,Hubei,59989,1789,7862
2020-02-18,Hubei,61682,1921,9128
2020-02-19,Hubei,62031,2029,10337
2020-02-20,Hubei,62442,2144,11788
2020-02-21,Hubei,62662,2144,11881
2020-02-22,Hubei,64084,2346,15299
2020-02-23,Hubei,64084,2346,15343
2020-02-24,Hubei,64287,2495,16748
2020-02-25,Hubei,64786,2563,18971
2020-02-26,Hubei,65187,2615,20969
2020-02-27,Hubei,65596,2641,23383
2020-02-28,Hubei,65914,2682,26403
2020-02-29,Hubei,66337,2727,28993
2020-03-01,Hubei,66907,2761,31536
2020-03-02,Hubei,67103,2803,33934
2020-03-03,Hubei,67217,2835,36208
2020-03-04,Hubei,67332,2871,38557
2020-03-05,Hubei,67466,2902,40592
2020-03-06,Hubei,67592,2931,42033
2020-03-07,Hubei,67666,2959,43500
2020-03-08,Hubei,67707,2986,45235
2020-03-09,Hubei,67743,3008,46488
2020-03-10,Hubei,67760,3024,47743
2020-03-11,Hubei,67773,3046,49134
2020-03-12,Hubei,67781,3056,50318
2020-03-13,Hubei,67786,3062,51553
2020-03-14,Hubei,67790,3075,52960
2020-03-15,Hubei,67794,3085,54288
2020-03-16,Hubei,67798,3099,55142
2020-03-17,Hubei,67799,3111,56003
2020-03-18,Hubei,67800,3122,56927
2020-03-19,Hubei,67800,3130,57682
2020-03-20,Hubei,67800,3133,58382
2020-03-21,Hubei,67800,3139,58946
2020-03-22,Hubei,67800,3153,59433
2020-03-23,Hubei,67800,3153,59879
2020-03-24,Hubei,67801,3160,60324
2020-03-25,Hubei,67801,3163,60811
2020-03-26,Hubei,67801,3169,61201
2020-03-27,Hubei,67801,3174,61732
2020-03-28,Hubei,67801,3177,62098
2020-03-29,Hubei,67801,3182,62570
2020-03-30,Hubei,67801,3186,62889
2020-03-31,Hubei,67801,3187,63153
2020-04-01,Hubei,67802,3193,63326
2020-04-02,Hubei,67802,3199,63471
2020-04-03,Hubei,67802,3203,63612
2020-04-04,Hubei,67803,3207,63762
2020-04-05,Hubei,67803,3210,63945
2020-04-06,Hubei,67803,3212,64014
2020-04-07,Hubei,67803,3212,64073
2020-04-08,Hubei,67803,3213,64142
2020-04-09,Hubei,67803,3215,64187
2020-04-10,Hubei,67803,3216,64236
2020-04-11,Hubei,67803,3219,64264
