date,county,daily_cases
2020-05-26,Cook,2200
2020-05-27,Cook,2224
2020-05-28,Cook,2246
2020-05-29,Cook,2267
2020-05-30,Cook,2287
2020-05-31,Cook,2307
2020-06-01,Cook,2325
2020-06-02,Cook,2342
2020-06-03,Cook,2359
2020-06-04,Cook,2374
2020-06-05,Cook,2388
2020-06-06,Cook,2401
2020-06-07,Cook,2414
2020-06-08,Cook,2425
2020-06-09,Cook,2435
2020-06-10,Cook,2444
2020-06-11,Cook,2452
2020-06-12,Cook,2460
2020-06-13,Cook,2466
2020-06-14,Cook,2471
2020-06-15,Cook,2475
2020-06-16,Cook,2479
2020-06-17,Cook,2481
2020-06-18,Cook,2483
2020-06-19,Cook,2483
2020-06-20,Cook,2483
2020-06-21,Cook,2482
2020-06-22,Cook,2480
2020-06-23,Cook,2477
2020-06-24,Cook,2474
2020-06-25,Cook,2470
2020-06-26,Cook,2464
2020-06-27,Cook,2458
2020-06-28,Cook,2452
2020-06-29,Cook,2445
2020-06-30,Cook,2436
2020-07-01,Cook,2428
2020-07-02,Cook,2418
2020-07-03,Cook,2408
2020-07-04,Cook,2398
2020-07-05,Cook,2387
2020-07-06,Cook,2375
2020-07-07,Cook,2362
2020-07-08,Cook,2350
2020-07-09,Cook,2336
2020-07-10,Cook,2322
2020-07-11,Cook,2308
2020-07-12,Cook,2293
2020-07-13,Cook,2278
2020-07-14,Cook,2262
2020-05-26,Kane,302
2020-05-27,Kane,313
2020-05-28,Kane,325
2020-05-29,Kane,337
2020-05-30,Kane,349
2020-05-31,Kane,361
2020-06-01,Kane,374
2020-06-02,Kane,387
2020-06-03,Kane,400
2020-06-04,Kane,413
2020-06-05,Kane,427
2020-06-06,Kane,440
2020-06-07,Kane,454
2020-06-08,Kane,468
2020-06-09,Kane,482
2020-06-10,Kane,497
2020-06-11,Kane,511
2020-06-12,Kane,526
2020-06-13,Kane,541
2020-06-14,Kane,556
2020-06-15,Kane,571
2020-06-16,Kane,587
2020-06-17,Kane,602
2020-06-18,Kane,618
2020-06-19,Kane,634
2020-06-20,Kane,649
2020-06-21,Kane,665
2020-06-22,Kane,681
2020-06-23,Kane,697
2020-06-24,Kane,713
2020-06-25,Kane,729
2020-06-26,Kane,746
2020-06-27,Kane,762
2020-06-28,Kane,778
2020-06-29,Kane,795
2020-06-30,Kane,811
2020-07-01,Kane,827
2020-07-02,Kane,843
2020-07-03,Kane,860
2020-07-04,Kane,876
2020-07-05,Kane,892
2020-07-06,Kane,908
2020-07-07,Kane,925
2020-07-08,Kane,941
2020-07-09,Kane,957
2020-07-10,Kane,973
2020-07-11,Kane,988
2020-07-12,Kane,1004
2020-07-13,Kane,1020
2020-07-14,Kane,1035
2020-05-26,McHenry,51
2020-05-27,McHenry,52
2020-05-28,McHenry,53
2020-05-29,McHenry,54
2020-05-30,McHenry,55
2020-05-31,McHenry,56
